"Row.names","name","ERR1018185","ERR1018186","ERR1018187","ERR1018188","ERR1018189","ERR1018190","ERR1018191","ERR1018192","ERR1018193","ERR1018194","ERR1018195","ERR1018196","ERR1018197","ERR1018198","ERR1018199","ERR1018200","ERR1018201","ERR1018202","ERR1018203","ERR1018204","ERR1018205","ERR1018206","ERR1018207","ERR1018208","ERR1018209","ERR1018210","ERR1018211","ERR1018212","ERR1018213","ERR1018214","ERR1018215","ERR1018216","ERR1018217","ERR1018218","ERR1018219","ERR1018220","ERR1018221","ERR1018222","ERR1018223","ERR1018224","ERR1018225","ERR1018226","ERR1018227","ERR1018228","ERR1018229","ERR1018230","ERR1018231","ERR1018232","ERR1018233","ERR1018234","ERR1018235","ERR1018236","ERR1018237","ERR1018238","ERR1018239","ERR1018240","ERR1018241","ERR1018242","ERR1018243","ERR1018244","ERR1018245","ERR1018246","ERR1018247","ERR1018248","ERR1018249","ERR1018250","ERR1018251","ERR1018252","ERR1018253","ERR1018254","ERR1018255","ERR1018256","ERR1018257","ERR1018258","ERR1018259","ERR1018260","ERR1018261","ERR1018262","ERR1018263","ERR1018264","ERR1018265","ERR1018266","ERR1018267","ERR1018268","ERR1018269","ERR1018270","ERR1018271","ERR1018272","ERR1018273","ERR1018274","ERR1018275","ERR1018276","ERR1018277","ERR1018278","ERR1018279","ERR1018280","ERR1018281","ERR1018282","ERR1018283","ERR1018284","ERR1018285","ERR1018286","ERR1018287","ERR1018288","ERR1018289","ERR1018290","ERR1018291","ERR1018292","ERR1018293","ERR1018294","ERR1018295","ERR1018296","ERR1018297","ERR1018298","ERR1018299","ERR1018300","ERR1018301","ERR1018302","ERR1018303","ERR1018304","ERR1018305","ERR1018306","ERR1018307","ERR1018308","ERR1018309","ERR1018310","ERR1018311","ERR1018312"
"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",0.363400211046945,0.750123730964467,0.47149287546054,0.634868949479444,0.248854846019338,0.932922446045516,0.547486962732494,0.75066757217934,0.764386483981156,0.732871495193451,0.65923533073796,0.401385796204702,0.653146635550369,0.668118436406068,0.551555925463541,0.583846739256124,0.846499305497003,0.879431315380483,0.754368560705663,0.158433313725708,0.866882491232127,0.709647685959375,0.811092606492775,0.876911670318483,0.829723794192652,0.758230077124576,0.452059871973071,0.579672789675442,0.715123258216982,0.547475573483985,0.770572650058772,0.64057937762054,0.732568589348478,0.685599810491578,0.83572786641316,0.558058635554507,0.39892212777495,0.402708098590041,0.350012238640609,0.800192464592791,0.766846445249313,0.444008457691213,0.709215666118421,0.600827452792507,0.764141796311852,0.314447499416745,0.562085074235673,0.659152117008933,0.694724190224,0.988089012501132,0.75362403764672,0.811854437754453,0.879355070204644,0.58580548067541,0.621365325754263,0.749920347797488,0.779230038022814,0.814462630072669,0.963908979941336,0.721557985616665,0.631654749777257,0.773310823857837,0.644069969559008,0.21338420255198,0.718456071901344,0.811887742703192,0.722622031416731,0.675820998640743,0.519278152368104,0.628224518787117,0.688780207620641,0.72272395273899,0.449950837784963,0.855268912900441,0.739056724287889,0.933494830797843,0.72408929207303,0.60820426462806,0.737763716960656,0.818102171269158,0.556434468215037,0.503236796496268,0.341235109210743,0.485082158948325,0.66842061229734,0.684415328764552,0.730723159087987,0.446709394324184,0.48172362057549,0.597911654027777,0.449100148599314,0.679030572150122,0.704392586500617,0.800536191248189,0.958644594699619,0.792470723406001,0.572596919808816,0.732163606785963,0.66336982209464,0.82597046803597,0.717579473639427,0.880458867501856,0.766676805092386,0.426446092195814,0.64524408763912,0.692779725852726,0.59633276205799,0.863315102840781,0.511783923361699,0.386647663341085,0.745830693696548,0.799363400949504,0.617161523962812,0.502042430324215,0.742897213828203,0.662365051935262,0.471458747617437,0.873034195317705,0.580557612994389,0.800813599661108,0.65398176099134,0.761788617886179,0.824114889225791,0.501665236550852,0.587588664842538,0.421387403852381,0.54388064639329,0.75021762815424
"M00002","Glycolysis, core module involving three-carbon compounds",0.710807958825064,0.87061230964467,0.58770127745553,0.800671635511516,0.380407023222069,0.969812445882142,0.648986859999804,0.997560957798728,0.962529999619053,0.88421230103176,0.876348728659175,0.46969771612115,0.777329184493711,0.824209451575263,0.98696074351505,0.941136924082256,0.950421805175268,0.933236556891016,0.9314745535821,0.998854618705675,0.957802093077848,0.964340545507468,0.899128979796084,0.900219662262355,0.888615983758456,0.915060756410743,0.558310876615702,0.759162410484151,0.939383305063739,0.934774533097649,0.952406343608994,0.858915480292057,0.907527301642569,0.900508078613321,0.856487834449312,0.7179166577305,0.69448553719991,0.691062117895043,0.536645066539557,0.982162158392781,0.846091791035466,0.637849646795282,0.892871522066886,0.697423657396167,0.841838659141345,0.599555635987816,0.761366614760796,0.797984186523464,0.966388251146762,0.99430305969517,0.825750951084507,0.89884315245598,0.942524543684523,0.673836968925199,0.802738303454307,0.881641965919135,0.960851684621885,0.874383762182979,0.99181725196045,0.849127237880294,0.745724769353103,0.863053564827841,0.78953974770649,0.335930340811595,0.828955619034348,0.875737083064478,0.810373601012482,0.755208607124709,0.724071654158893,0.743058932544043,0.852583432582419,0.841512352309345,0.555578644339249,0.94554423437506,0.880993150684931,0.989492793323718,0.942106045572562,0.789469646148792,0.87151519610548,0.868657525087468,0.76445140725902,0.683017721888964,0.598816825511049,0.669373157653517,0.74617388861997,0.767340081212604,0.886319812081478,0.706486539285151,0.603420866615817,0.739147494884043,0.737813938982553,0.844308636041109,0.896402416338679,0.877788925358457,0.993875806326261,0.812221738426712,0.806838514645206,0.901140148874288,0.906056754734954,0.927977630273093,0.766015269458762,0.977163154242302,0.82086488013122,0.526066305599711,0.929201394582801,0.849190871758331,0.799582910706166,0.931063554891301,0.841780142805173,0.617661840822144,0.844215235983529,0.929074953244137,0.690807725703636,0.686099909349668,0.954546988033101,0.88536614824312,0.610489054648371,0.954331355262546,0.728247708954551,0.988824322620076,0.845451736350455,0.844432205612379,0.913425400991171,0.811594118588112,0.806499329022813,0.514245557482305,0.707300994207954,0.988354840652392
"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",0.898914516750985,0.989676395939087,0.761222818452268,0.874803978815688,0.67802840954402,0.986203009361369,0.989155341610653,0.990034492243505,0.978057421493061,0.945217687136272,0.962916954749274,0.815075275385737,0.988883702839362,0.943541423570595,0.902298053359227,0.997203271097152,0.933678292010775,0.983334768577181,0.977538665646738,0.999862376666186,0.980824547942134,0.782504722823078,0.972375992994308,0.984778567160215,0.971350493165386,0.948497954344354,0.847933509204891,0.912919979234816,0.996816537294976,0.956360118773077,0.960551511015053,0.825157926289962,0.930777808622661,0.807644867752528,0.897015789038604,0.801923778068501,0.861910107549387,0.876961668473208,0.782708733236283,0.990202436490171,0.918297079602962,0.972804530483545,0.904926500822368,0.907035894142433,0.887923154711079,0.915357159210087,0.926590709363099,0.903335402218205,0.91878999582142,0.992550154985992,0.905141716099021,0.931779883293952,0.937271695205379,0.683175947210875,0.987133799737647,0.950790355402989,0.956593921630757,0.951421072761563,0.976412135660801,0.934671956676847,0.987714799403464,0.933770833678148,0.911026436853576,0.550572278709772,0.925770796021328,0.991625674932053,0.971508424944785,0.965052330136702,0.937072588361138,0.92068171984546,0.963180700909713,0.933078410311493,0.95438810781223,0.965853899721979,0.97057784300935,0.96226822991474,0.894676978285446,0.947029534487066,0.948620793250807,0.992870029338359,0.917696107387147,0.839078123822594,0.790191533692023,0.864142834602679,0.962315566790369,0.943892803025101,0.973080204279587,0.925737527957062,0.947264899237542,0.950570725553082,0.934162248436038,0.913383994445589,0.854985411893713,0.921870224442879,0.994733815186135,0.964758663295802,0.971645083540994,0.990950640497469,0.909696139818652,0.984618925966317,0.924423656573835,0.965408403033955,0.928274258899184,0.728704823004216,0.929679089100722,0.95273678486377,0.850752859291386,0.976831398054319,0.998730303657153,0.870343560123022,0.914820240734875,0.973133362106172,0.95513458565408,0.8260670066365,0.964494503323068,0.964890276306743,0.938837226572492,0.973017151887947,0.942574224952922,0.975624347196218,0.909021521818936,0.886923682140047,0.959060043570764,0.939469742142847,0.962503703445512,0.868342219567944,0.92876829627251,0.91214392475267
"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",0.204583921178353,0.482281091370558,0.286629458192274,0.28055189366026,0.197427463855926,0.569144243493604,0.338722396704727,0.648958051881981,0.800223489225534,0.463358532715542,0.724264062495517,0.121268252310481,0.459082069233761,0.415320886814469,0.523388973659469,0.251845437701519,0.470917409614762,0.821730411996998,0.550647813926804,0.229644510049833,0.794777465953325,0.321611410112263,0.626755332457622,0.773803200318704,0.518014504538892,0.695487876460504,0.192656889720969,0.434697351985727,0.217539403358372,0.77368792398922,0.348360539187806,0.478737773896181,0.430257889363064,0.304679714430413,0.599988977983522,0.213513629442169,0.154517216939623,0.132911473752308,0.100627391365961,0.274464272016625,0.0632191316569709,0.241992362941413,0.492393092105263,0.193405831721243,0.227985773162,0.181870907675636,0.179861550084026,0.15926545591926,0.616753759548526,0.969893861619859,0.286952562969908,0.149693843918426,0.682408545731546,0.162212446458399,0.345100021862702,0.216371353984666,0.787874287072243,0.471991348271633,0.953782048445824,0.535368733412743,0.227051072839392,0.195046260282362,0.489098189342373,0.0827184607801975,0.129790451678477,0.185142975259707,0.293899049557039,0.233874783157231,0.265087648491588,0.224763844801905,0.435044640971712,0.177558181167204,0.105146320943104,0.587774646387428,0.362140546858013,0.720016110260518,0.523036926151155,0.207835206493535,0.416052016848456,0.522018179407815,0.340430267697392,0.286699106941016,0.134611898127617,0.148642455176352,0.329523655856147,0.307994451540247,0.638695088174456,0.185396958972933,0.171663579393218,0.326295883527844,0.157157533618302,0.52032166754408,0.323532867297186,0.430374868775996,0.894663868811689,0.193470584346454,0.336672249683402,0.449872886428778,0.259312658381846,0.302455462432217,0.387486366554677,0.329997443295957,0.440625033945622,0.179779933180403,0.510527103816565,0.489358510378968,0.390568710433353,0.651512911896902,0.306478304598726,0.201170204785837,0.159728381374723,0.193623219680622,0.333742773036278,0.157742769423606,0.81374916260621,0.661779735027965,0.251619317947406,0.82243457647077,0.24638885320637,0.714810036120462,0.336822144575704,0.18590611067401,0.592240709362618,0.105618173620908,0.123725579044598,0.185939362541583,0.171194971307358,0.655170242703297
"M00005","PRPP biosynthesis, ribose 5P => PRPP",0.894060898819845,0.998794416243655,0.998306290437316,0.976202072023601,0.697074435495008,1,0.999600810120637,0.999525336098555,0.99721654328199,0.997829300528976,0.999856556377646,0.863068260192721,0.952915856346428,0.973436406067678,0.971517085125075,0.999712259622496,0.99972486143223,0.96259754532295,0.994997968111299,0.999738071719515,0.970797114397531,0.999777413776375,0.995371239131795,0.999507558152402,0.968993920485033,0.965800609170261,0.87859378398056,0.992306000820633,0.9991143122133,0.955604698068566,0.999312744094339,0.973902842488185,0.998931930570782,0.997316658770482,0.999740982612769,0.995581958950822,0.996546622968287,0.971672286224728,0.91192043595326,0.999874479613397,0.998041425310108,0.999441821952292,0.992662931743421,0.964477878462732,0.996528910702757,0.934487923895577,0.937586531197484,0.92701783738565,0.994042001774723,1,0.951183671997548,0.996592591904853,1,0.999017645988721,0.968911237428946,0.971828814569673,0.924802624630334,0.993985993695844,0.9936521238968,0.993471076600661,0.989378586643078,0.986999122792499,0.970358046886879,0.552605830488673,0.957516567555051,0.999960893745513,0.981679777650942,0.999053777006781,0.858435902718782,0.95821766483001,0.88945763542221,0.994348728965271,0.972661753824009,0.975000855744327,0.96190408240922,0.96883671480989,0.998547983944851,0.938747366329544,0.999950950637948,0.992051552512205,0.912984793098824,0.890898836123334,0.850544031551319,0.98653600042075,0.975390977488541,0.992787460114723,0.97187649732964,0.917570183809073,0.93873229008636,0.97704563352035,0.924122621952338,0.911835168272715,0.996313810726664,0.970183912933703,1,0.999762914870481,0.98843498508926,0.99739434784752,0.981088657594952,0.986034014965981,0.981440465354934,0.985770724521226,0.986410888669223,0.999029116972368,0.995166016669399,0.968769337508673,0.969527123920115,0.909039149024696,0.999992866874478,0.989318130672868,0.988169147925246,0.979463386563084,0.986361422308817,0.831800733409684,0.920689771505959,0.963445565527621,0.945434142235938,0.87442091073891,0.97220134415288,0.998079180450326,0.8948655579589,0.984154209284029,0.998267361420764,0.928602801087858,0.990882988549818,0.991420766206885,0.991408019344119,0.993939261214009
"M00006","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",0.151147942984998,0.177839467005076,0.251631440828762,0.134227657409792,0.116077281117554,0.528529301246549,0.235668789808917,0.470713237280833,0.681118969917842,0.267432583373225,0.662336581853234,0.107368415866948,0.35302476338649,0.243328471411902,0.421679690510319,0.143456057741695,0.401502611597534,0.682651182435896,0.508276958382138,0.106438330318198,0.683953653776755,0.166600081044215,0.569556514668168,0.751693114667021,0.449220284227005,0.577555317390555,0.155120604393007,0.364406299376818,0.107026177922979,0.695263786427857,0.176949436924127,0.30485787559072,0.202399156836821,0.186220613941939,0.564690970213,0.158907928882407,0.095096299749321,0.10793407337272,0.0579055176944978,0.11621095792975,0.0247587127465371,0.17863545798324,0.369164182428728,0.132881947979731,0.0640415975341382,0.150418744399117,0.130821294768813,0.0390587473351863,0.493971576263786,0.51428471262588,0.150837044516164,0.119651553063186,0.628947724451921,0.108917260654572,0.200953760384784,0.13383882505293,0.612329029362062,0.379336085356686,0.873700949708893,0.465043242549355,0.10002522825181,0.11263564993352,0.417739256953575,0.0593253135211113,0.0630940037130995,0.0892153330037235,0.178028141052684,0.155743798860027,0.182906074572483,0.171264689102208,0.353390095363589,0.0926086645184389,0.0499401944188215,0.43743748312282,0.194807974559687,0.654796208165888,0.158079605051633,0.0687970790110973,0.193046026695115,0.458848483800499,0.277351162704426,0.235949334715584,0.083251749519562,0.116890857954304,0.238509713930571,0.168035469856573,0.518654536105365,0.134161338232237,0.0450937497380707,0.178296897182204,0.0856326478196261,0.411556684749021,0.196136599502634,0.255601105603763,0.803376078339939,0.115836602752467,0.29320233669676,0.182075225881872,0.397428098848391,0.199840755317904,0.214259745818432,0.198494588309775,0.177652375107268,0.118247841688956,0.460176675673941,0.360957452793039,0.317237067608688,0.430518829963703,0.289722592748465,0.180121521266222,0.0994219195438708,0.0909401524960437,0.276604756559859,0.108959461022222,0.643132888972427,0.587235446048646,0.198959510862839,0.521048635750918,0.193388014135744,0.426066232703731,0.276646092980385,0.0870653029110936,0.476628489164639,0.0229264532642999,0.0261027553634605,0.103485658504762,0.0612677306905452,0.55238679229788
"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0.331662352596178,0.558562817258883,0.444678464184021,0.355140663526928,0.242862116653019,0.777242725742946,0.377486864891837,0.685670261941448,0.864964254422166,0.588768361377807,0.808692109740109,0.169960785859263,0.521322442629327,0.6900495915986,0.690487199642422,0.376765098974622,0.749402017386983,0.868949934593887,0.801448617120455,0.23260341172684,0.770588297123157,0.618315992534801,0.661959717270282,0.844994245623354,0.627163649036626,0.836198614035446,0.344736618160157,0.495632737354434,0.68886735015026,0.803231605007218,0.604846813028476,0.574877600186514,0.647228900923621,0.682552972504942,0.660723044280951,0.341754777274969,0.271653768033906,0.394777881076727,0.232462028007163,0.758836983884577,0.164112757348813,0.30646192745164,0.747115285773026,0.307635826787071,0.445761915671043,0.225417708712631,0.31590940626879,0.319901772944383,0.742432778849811,0.989479650237081,0.497185060310477,0.232725044449499,0.785653782580307,0.28758661749384,0.521824442501093,0.372918765031141,0.805456537811576,0.610403175817364,0.987840394770745,0.476674100145983,0.358110244266959,0.406334651903099,0.595895087402319,0.15797995655428,0.276830832660522,0.319037204014536,0.377661488448272,0.409399148399306,0.436836921027453,0.359832748130478,0.535805691407141,0.323153598281418,0.237037900520004,0.600819993230112,0.542753859534681,0.652696543697601,0.754253197028207,0.46712608764934,0.56642816414369,0.711950914446116,0.412969098229904,0.416330808594009,0.141481673625696,0.314640847310331,0.597718974285424,0.449482464211977,0.687176430716731,0.425876530594355,0.28181637847458,0.428988334800226,0.312971252453723,0.721608032532979,0.607577493195481,0.789642937823077,0.988727753167016,0.239797930520379,0.450439151926141,0.555077852660934,0.399747365587362,0.508707514311267,0.516884844765659,0.541208590525585,0.608968161722374,0.35961221789661,0.756996085756861,0.670320088507191,0.32672869084677,0.731042751326227,0.30472355572041,0.320197284524792,0.221416693063034,0.328873543375054,0.375706812935471,0.219996791798943,0.85697073097851,0.756108664548377,0.321478963306462,0.853883577880727,0.425878905983093,0.78119795759322,0.504818573892283,0.291051665355363,0.792319060298371,0.382858971189226,0.266711253245961,0.225149123248836,0.366258717868255,0.820419817028103
"M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",0.097945178593282,0.0235469543147208,0.00282949126942535,0.00533942582048412,0.00173110325739171,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.21124428347348,0.00026967401002384,0.00452243482373342,0.0240010372099054,0.033465577596266,0.00294385105038455,0.00108104328744726,0.0914702606272272,0.325275464301385,0.00905385700284464,0.0225213926593489,0.00470889961004425,0.00252835120681685,0.00953118158503784,0.735376137042693,0.00900586930425787,0.0127645408006822,0.00305978687393035,0.00617968231082941,0.0581545942965049,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.000304429931170295,0.00152520660979988,0.00244257500998415,0.030864068394664,0,0.00026984766544804,0.00423177083333333,3.13280754380057e-05,0.00463274718205401,0.00608547575076368,0.00442176346340636,0.0174838761907332,0.00116906348155556,0.932916336779739,0.000148747813857887,0.0139035248569028,0.0858484850267348,0.0124266128632146,0.0263718845649322,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.00540345283621567,0.0393241383274627,0.0131967317124304,0.301333023258587,0.0217009547105748,0.00281146388744308,0.00615644177777033,0.040387621907338,0.00412032552073555,0.00475850448614643,0.00164648131626609,0.0207958509658837,0.00140350877192982,0.0156964309245537,0.00432055802136698,0.056945123939987,0.00058044320985095,0.00423158964643409,0.0014164278084124,0.00908639432008388,0.30231190883782,0.00717398190238933,0,0.00111567608576202,0,0.000507956996958234,0,0.508127943530952,0.00381693728351278,0.00208425881688976,0,0.000201801537360803,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.0643653744025491,0.145117219135346,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.00741495968115673,0.00135010969641283,0.000419712496939596,0.000197086405965149,0.0024751945559986,0.000802640462080864,0.000673107380424454,0.00586246583225435,0,0.0221216654293953,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0559489316868347,0.00154695105785761,0.0372005186859525,0.0550788481904928,0.001049042748492,0.421610844279108,0.000302505853779142,0.0166698617961275,0.00158776985491813,0.000622748314809004,0.358881144915714
"M00009","Citrate cycle (TCA cycle, Krebs cycle)",0.254350822829091,0.0880647208121828,0.0028932544529617,0.0438832465952873,0.050598786671672,0.0184041562515316,0.101993014177111,0.0047320339713303,0.314042996279412,0.219601928038753,0.00026967401002384,0.0046850060102075,0.0242395954881369,0.033465577596266,0.00295926388310908,0.288036185369343,0.0925752526171447,0.325964381348391,0.0533938517438386,0.779347621003097,0.00470889961004425,0.00422913824887423,0.00953118158503784,0.735420401478432,0.00900586930425787,0.0373824952618468,0.00747737781181743,0.0126994058346538,0.0593466520723145,0.00133632177431619,0.00916183217684753,0.00706828854900248,0.00717065114593969,0.0202006175360638,0.021305557851809,0.00462821970103159,0.0434954264159559,0.151481721084268,0.0056323512361027,0.030864068394664,0,0.00158581710242752,0.00423177083333333,3.13280754380057e-05,0.0048410125398886,0.13981331478546,0.0429441420884661,0.0208462638637774,0.00116906348155556,0.932916336779739,0.000604006274453239,0.0425461787357309,0.0858484850267348,0.0124266128632146,0.0584417358985571,0.00640300931159942,0.0159220532319392,0.311873705867613,0.0018322692811206,0.0134339987640721,0.0393241383274627,0.0131967317124304,0.301595394197428,0.0217009547105748,0.00377867303822525,0.00615644177777033,0.0462937687669057,0.00412032552073555,0.00475850448614643,0.00329296263253217,0.0340910050764851,0.00192481203007519,0.0156964309245537,0.00432055802136698,0.061436589475973,0.00531875512700157,0.00423158964643409,0.00329319465455883,0.00908639432008388,0.30231190883782,0.00940836051399269,0,0.0144647404519046,0,0.000507956996958234,0,0.508443478362491,0.00381693728351278,0.00528049485780382,0.000703018346598944,0.000376084683263314,0,0.000846893418708023,0.0656452234462414,0.276412528172845,0.000615509470867025,0.146742105478165,0.145180599863379,0.00106644854515193,0.102482632141011,0.000453803570093313,0.0110790508540609,0,0,0.0763170465645208,0.00191265540325151,0.000419712496939596,0.000197086405965149,0.304566626958935,0.0345060385567474,0.000673107380424454,0.00586246583225435,0.000328257692877867,0.127552105288682,0.00829923514017611,0.00119850604827471,0.00581716765819808,0.0816573960738136,0.00154695105785761,0.0421286819750164,0.0550788481904928,0.001049042748492,0.421840164091065,0.00186157448479472,0.0749664511406612,0.00158776985491813,0.000622748314809004,0.359302713918894
"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",0.255380658032368,0.0914562182741117,0.225339090617447,0.063749276474653,0.0966986499339652,0.0190168112532471,0.198127329830638,0.151685543684901,0.315269647369557,0.262181959410027,0.0957973887522987,0.00610873549175321,0.245393491507844,0.0496616102683781,0.0147809065828209,0.373279944495688,0.0939509454559978,0.327547250277822,0.0710085339325413,0.779489683799292,0.206441802695705,0.121817445052593,0.0182374741977857,0.742021335458026,0.0436574450547931,0.249266279827003,0.0785635265083823,0.221598057684591,0.218252409878483,0.00630763822578353,0.0411524096613961,0.0947631753268621,0.0762140467597973,0.0249015699792521,0.0244440770438952,0.00530593861925494,0.0454599508155393,0.153362523617139,0.0175618051350759,0.034873747411142,0.041558376753257,0.0214491928597568,0.0113975123355263,0.0582858843524095,0.0666449145070706,0.158065381252548,0.0454818766284825,0.0282888523086057,0.0299449272504472,0.936623730239651,0.00755007843066549,0.0516101628035448,0.0961306565178262,0.0535779846858617,0.159343572365544,0.00911889247466546,0.0188859843683988,0.319296255753531,0.0726583260242099,0.0335939529093563,0.0462028287576523,0.0324566775352124,0.313867198564115,0.0297803983132838,0.0122950315777394,0.0334777471445451,0.048403106931037,0.0375810735375473,0.164978423032742,0.0995412826472356,0.057598256594785,0.057984962406015,0.0319148936170213,0.103233192230602,0.0628771200260926,0.00914494200010069,0.0585888478252602,0.0501985949823045,0.0511278287686771,0.372363726490406,0.0124788475971156,0.01036688260533,0.0246675982561983,0,0.0144229907312788,0.00489839268628771,0.509542007035258,0.00686748164789505,0.00587280433391726,0.00107087678377281,0.00672824671155222,0.00463884883303959,0.103000352464313,0.0665355533998645,0.277668454185125,0.0228490793574081,0.147546876914907,0.233952351777125,0.126625233932736,0.157648461703918,0.00101590117395889,0.0581345800309239,0.109055062514257,0.0153056853767883,0.106811068253278,0.00655365748467063,0.0469028715329999,0.000339426588051089,0.446269732008474,0.0542457430050259,0.00152043078872347,0.00848798733995109,0.000815349753277282,0.183065174977524,0.0139670054798086,0.0103452440678596,0.00617197362883995,0.0829511473327033,0.00718812947379066,0.0636942469190895,0.0717834137529415,0.0245423551009704,0.463340680060642,0.00281563140825201,0.0814627302671709,0.0146784766043791,0.00669940960540623,0.43655660248233
